
id season_id game_number date home_team visiting_team home_goal_count visiting_goal_count periods overtime shootout status game_status venue_name venue_location attendance
2 1 1 2024-01-01T12:30:00-05:00 6 4 0 4 3 0 0 4 Final Mattamy Athletic Centre Toronto, Ontario 2537
3 1 2 2024-01-02T19:00:00-05:00 5 3 2 3 4 1 0 4 Final OT TD Place Ottawa, Ontario 8318
4 1 3 2024-01-03T19:00:00-05:00 1 2 2 3 3 0 0 4 Final Tsongas Center Lowell, Massachusetts 4012
5 1 4 2024-01-05T19:00:00-05:00 4 6 2 3 3 0 0 4 Final Total Mortgage Arena Bridgeport, Connecticut 2152
6 1 5 2024-01-06T14:30:00-06:00 2 3 3 0 3 0 0 4 Final Xcel Energy Center Saint Paul, Minnesota 13316
8 1 7 2024-01-10T19:00:00-06:00 2 6 3 1 3 0 0 4 Final Xcel Energy Center Saint Paul, Minnesota 4707
9 1 8 2024-01-10T19:00:00-05:00 4 3 2 5 3 0 0 4 Final UBS Arena Elmont, New York 2201
10 1 9 2024-01-13T13:00:00-05:00 6 5 1 5 3 0 0 4 Final Mattamy Athletic Centre Toronto, Ontario 2417
11 1 10 2024-01-13T15:30:00-05:00 3 1 2 3 4 1 0 4 Final OT Verdun Auditorium Montréal, Québec 3245
12 1 11 2024-01-14T15:00:00-06:00 2 4 2 3 4 1 0 4 Final OT Xcel Energy Center Saint Paul, Minnesota 7951
13 1 12 2024-01-16T19:00:00-05:00 3 4 3 2 3 0 0 4 Final Place Bell Laval, Québec 6334
14 1 13 2024-01-17T19:00:00-05:00 6 1 2 3 3 0 0 4 Final Mattamy Athletic Centre Toronto, Ontario 2491
15 1 14 2024-01-17T19:00:00-05:00 5 2 2 3 4 1 0 4 Final OT TD Place Ottawa, Ontario 5609
16 1 15 2024-01-20T12:30:00-05:00 1 4 1 4 3 0 0 4 Final Tsongas Center Lowell, Massachusetts 4007
17 1 16 2024-01-20T20:00:00-05:00 3 6 3 4 4 1 0 4 Final SO Verdun Auditorium Montréal, Québec 3232
18 1 17 2024-01-23T19:00:00-05:00 5 6 3 1 3 0 0 4 Final TD Place Ottawa, Ontario 6316
19 1 19 2024-01-24T19:00:00-05:00 5 1 2 3 3 0 0 4 Final TD Place Ottawa, Ontario 5208
20 1 18 2024-01-24T19:00:00-06:00 2 3 1 2 3 0 0 4 Final Xcel Energy Center Saint Paul, Minnesota 5001
21 1 20 2024-01-26T19:00:00-05:00 6 4 2 0 3 0 0 4 Final Mattamy Athletic Centre Toronto, Ontario 2506
22 1 21 2024-01-27T15:30:00-05:00 3 5 2 1 4 1 0 4 Final OT Place Bell Laval, Québec 8646
23 1 22 2024-01-27T16:00:00-05:00 1 2 4 3 4 1 0 4 Final OT Tsongas Center Lowell, Massachusetts 4059
24 1 23 2024-01-28T13:00:00-05:00 4 2 1 2 4 1 0 4 Final OT Total Mortgage Arena Bridgeport, Connecticut 2393
25 1 24 2024-02-03T12:00:00-05:00 6 2 4 1 3 0 0 4 Final Mattamy Athletic Centre Toronto, Ontario 2470
26 1 25 2024-02-04T13:00:00-05:00 5 4 3 4 4 1 0 4 Final OT TD Place Ottawa, Ontario 8062
27 1 26 2024-02-04T15:30:00-05:00 1 3 1 2 4 1 0 4 Final OT Tsongas Center Lowell, Massachusetts 4210
